iter	Passed	Remaining
437	1294	1660
438	1296	1656
439	1297	1651
440	1299	1647
441	1310	1654
442	1312	1649
443	1313	1645
444	1315	1640
445	1320	1639
446	1321	1635
447	1326	1633
448	1328	1629
449	1329	1624
450	1331	1620
451	1339	1623
452	1340	1619
453	1342	1614
454	1344	1609
455	1345	1605
456	1355	1609
457	1356	1605
458	1358	1600
459	1359	1596
460	1361	1591
461	1368	1593
462	1370	1589
463	1372	1585
464	1373	1580
465	1375	1575
466	1376	1571
467	1377	1566
468	1382	1565
469	1384	1561
470	1386	1556
471	1387	1552
472	1389	1548
473	1391	1543
474	1398	1546
475	1400	1541
476	1402	1537
477	1403	1533
478	1405	1528
479	1406	1524
480	1413	1525
481	1415	1521
482	1417	1517
483	1419	1513
484	1420	1508
485	1422	1504
486	1429	1505
487	1431	1501
488	1432	1497
489	1434	1492
490	1436	1488
491	1437	1484
492	1440	1481
493	1443	1478
494	1445	1474
495	1447	1470
496	1449	1466
497	1451	1463
498	1456	1462
499	1458	1458
500	1459	1453
501	1460	1449
502	1464	1446
503	1465	1442
504	1467	1438
505	1476	1441
506	1478	1438
507	1480	1433
508	1481	1429
509	1483	1425
510	1491	1427
511	1492	1422
512	1494	1418
513	1495	1414
514	1497	1410
515	1498	1405
516	1504	1405
517	1506	1401
518	1507	1397
519	1509	1392
520	1510	1388
521	1512	1384
522	1514	1381
523	1517	1378
524	1519	1374
525	1521	1370
526	1522	1366
527	1524	1362
528	1526	1358
529	1527	1354
530	1530	1351
531	1531	1347
532	1533	1343
533	1535	1339
534	1536	1335
535	1537	1331
536	1539	1327
537	1541	1323
538	1542	1319
539	1546	1317
540	1548	1313
541	1549	1309
542	1551	1305
543	1553	1301
544	1554	1297
545	1556	1293
546	1557	1289
547	1560	1286
548	1561	1283
549	1563	1278
550	1564	1274
551	1565	1270
552	1567	1267
553	1569	1263
554	1570	1259
555	1572	1255
556	1575	1252
557	1576	1249
558	1578	1245
559	1579	1241
560	1581	1237
561	1582	1233
562	1584	1229
563	1585	1225
564	1587	1221
565	1589	1218
566	1590	1214
567	1592	1211
568	1593	1207
569	1595	1203
570	1597	1199
571	1598	1196
572	1599	1192
573	1601	1188
574	1602	1184
575	1606	1182
576	1608	1178
577	1609	1175
578	1611	1171
579	1612	1167
580	1614	1164
581	1616	1160
582	1617	1156
583	1619	1153
584	1621	1150
585	1622	1146
586	1624	1143
587	1626	1139
588	1627	1135
589	1629	1132
590	1630	1128
591	1632	1124
592	1634	1122
593	1637	1119
594	1639	1116
595	1641	1112
596	1642	1109
597	1644	1105
598	1645	1101
599	1647	1098
600	1649	1095
601	1651	1091
602	1652	1088
603	1654	1084
604	1655	1081
605	1657	1077
606	1658	1073
607	1660	1070
608	1661	1067
609	1665	1065
610	1667	1061
611	1669	1058
612	1670	1054
613	1672	1051
614	1673	1047
615	1675	1044
616	1676	1040
617	1682	1039
618	1683	1036
619	1685	1032
620	1686	1029
621	1688	1026
622	1689	1022
623	1691	1019
624	1693	1015
625	1694	1012
626	1696	1009
627	1698	1006
628	1700	1002
629	1701	999
630	1703	995
631	1704	992
632	1706	989
633	1709	987
634	1711	983
635	1713	980
636	1714	977
637	1716	974
638	1719	971
639	1720	967
640	1722	964
641	1724	961
642	1725	958
643	1726	954
644	1728	951
645	1730	948
646	1732	945
647	1734	942
648	1735	938
649	1737	935
650	1739	932
651	1740	929
652	1742	925
653	1744	922
654	1745	919
655	1747	916
656	1748	913
657	1750	909
658	1752	907
659	1754	903
660	1755	900
661	1757	897
662	1758	894
663	1760	890
664	1761	887
665	1763	884
666	1765	881
667	1768	878
668	1769	875
669	1771	872
670	1773	869
671	1774	866
672	1776	863
673	1778	859
674	1779	856
675	1781	854
676	1783	851
677	1785	847
678	1787	844
679	1788	841
680	1790	838
681	1791	835
682	1793	832
683	1794	829
684	1796	825
685	1797	822
686	1798	819
687	1800	816
688	1801	813
689	1803	810
690	1805	807
691	1808	804
692	1810	802
693	1812	799
694	1814	796
695	1815	793
696	1817	790
697	1819	787
698	1820	784
699	1823	781
700	1825	778
701	1826	775
702	1828	772
703	1829	769
704	1831	766
705	1832	763
706	1834	760
707	1837	757
708	1839	754
709	1840	751
710	1842	748
711	1844	745
712	1846	743
713	1848	740
714	1850	737
715	1852	734
716	1854	731
717	1855	728
718	1857	725
719	1858	722
720	1860	719
721	1862	717
722	1864	714
723	1867	711
724	1869	709
725	1871	706
726	1874	703
727	1876	701
728	1877	698
729	1879	695
730	1882	692
731	1884	689
732	1885	686
733	1887	684
734	1889	681
735	1891	678
736	1893	675
737	1896	673
738	1898	670
739	1900	667
740	1902	664
741	1903	661
742	1905	658
743	1906	656
744	1907	653
745	1909	650
746	1912	647
747	1913	644
748	1915	641
749	1917	639
750	1919	636
751	1921	633
752	1923	630
753	1926	628
754	1928	625
755	1930	622
756	1932	620
757	1933	617
758	1934	614
759	1936	611
760	1938	608
761	1941	606
762	1943	603
763	1945	600
764	1946	597
765	1948	595
766	1950	592
767	1951	589
768	1954	586
769	1957	584
770	1958	581
771	1960	578
772	1962	576
773	1963	573
774	1965	570
